order_id,product_id,category,quantity,price
O000001,P0111,Kecantikan,3,1092380
O000001,P0376,Fashion,4,840921
O000001,P0439,Rumah Tangga,1,1782244
O000001,P0052,Fashion,5,2371483
O000002,P0280,Elektronik,3,373308
O000003,P0357,Rumah Tangga,4,819094
O000004,P0064,Fashion,5,1179848
O000004,P0065,Kecantikan,3,1124930
O000005,P0419,Elektronik,5,529117
O000005,P0150,Rumah Tangga,5,2319159
O000006,P0392,Fashion,2,706383
O000007,P0128,Elektronik,4,558262
O000007,P0004,Elektronik,3,1854858
O000007,P0025,Rumah Tangga,4,2569516
O000008,P0020,Rumah Tangga,2,2620863
O000008,P0286,Fashion,1,2039114
O000008,P0463,Rumah Tangga,1,2331933
O000009,P0243,Rumah Tangga,4,2010066
O000010,P0419,Elektronik,3,529117
O000011,P0143,Kecantikan,1,1873057
O000011,P0282,Makanan & Minuman,1,918770
O000012,P0490,Makanan & Minuman,5,1425054
O000012,P0269,Rumah Tangga,4,180083
O000012,P0234,Kecantikan,4,700732
O000012,P0379,Kecantikan,3,1403463
O000013,P0258,Kecantikan,2,2905935
O000013,P0492,Rumah Tangga,3,1043752
O000013,P0175,Rumah Tangga,2,2836702
O000013,P0085,Kecantikan,5,2909862
O000014,P0332,Makanan & Minuman,5,436089
O000014,P0208,Makanan & Minuman,3,2118983
O000014,P0206,Makanan & Minuman,5,1777945
O000014,P0013,Kecantikan,2,90181
O000015,P0498,Rumah Tangga,1,822619
O000015,P0496,Kecantikan,5,2931444
O000016,P0445,Fashion,3,1162871
O000017,P0439,Rumah Tangga,2,1782244
O000017,P0322,Fashion,2,98321
O000017,P0442,Elektronik,1,2116083
O000018,P0004,Elektronik,2,1854858
O000018,P0085,Kecantikan,5,2909862
O000019,P0422,Fashion,4,1839269
O000020,P0478,Rumah Tangga,5,2141093
O000020,P0186,Makanan & Minuman,3,1818297
O000020,P0388,Fashion,2,793086
O000021,P0029,Rumah Tangga,1,2019937
O000022,P0123,Elektronik,3,161774
O000023,P0163,Fashion,3,2458537
O000023,P0318,Fashion,5,1415714
O000023,P0379,Kecantikan,5,1403463
O000023,P0218,Fashion,5,541171
