order_id,user_id,order_date,status,estimated_delivery
O000001,U00439,2023-08-11,delivered,2023-08-13
O000002,U00503,2024-08-07,delivered,2024-08-12
O000003,U02391,2025-06-23,delivered,2025-06-30
O000004,U04244,2024-07-26,delivered,2024-07-30
O000005,U04680,2023-02-02,canceled,2023-02-05
O000006,U00889,2024-06-13,delivered,2024-06-18
O000007,U02538,2024-09-03,delivered,2024-09-07
O000008,U01222,2025-06-05,canceled,2025-06-12
O000009,U01864,2024-05-07,delivered,2024-05-10
O000010,U03259,2024-10-30,delivered,2024-11-06
O000011,U01465,2025-06-01,delivered,2025-06-04
O000012,U03506,2025-03-06,delivered,2025-03-13
O000013,U00301,2024-09-01,delivered,2024-09-04
O000014,U03214,2024-07-26,delivered,2024-07-29
O000015,U01239,2025-05-19,delivered,2025-05-23
O000016,U02736,2025-06-23,delivered,2025-06-26
O000017,U03281,2024-06-14,delivered,2024-06-21
O000018,U00387,2024-11-13,delivered,2024-11-18
O000019,U03496,2024-12-01,delivered,2024-12-07
O000020,U00260,2025-02-01,delivered,2025-02-07
O000021,U00331,2025-05-29,delivered,2025-06-03
O000022,U02443,2025-03-21,delivered,2025-03-27
O000023,U00962,2025-02-03,delivered,2025-02-09
O000024,U02771,2024-01-04,canceled,2024-01-09
O000025,U03016,2025-06-17,delivered,2025-06-24
O000026,U00850,2024-11-29,delivered,2024-12-06
O000027,U03076,2025-06-16,returned,2025-06-22
O000028,U01111,2024-07-18,delivered,2024-07-22
O000029,U04660,2023-06-13,delivered,2023-06-16
O000030,U02286,2025-02-09,delivered,2025-02-16
O000031,U01673,2025-01-26,returned,2025-01-28
O000032,U03403,2024-06-18,delivered,2024-06-24
O000033,U02987,2025-07-05,delivered,2025-07-09
O000034,U01517,2025-02-11,canceled,2025-02-14
O000035,U01333,2025-05-25,delivered,2025-05-28
O000036,U02139,2025-05-13,delivered,2025-05-19
O000037,U04695,2025-01-08,delivered,2025-01-15
O000038,U00627,2025-03-29,delivered,2025-04-01
O000039,U00405,2024-06-20,canceled,2024-06-25
O000040,U03759,2025-04-12,delivered,2025-04-15
O000041,U00188,2023-07-26,delivered,2023-07-30
O000042,U02694,2024-09-20,delivered,2024-09-27
O000043,U01883,2023-01-22,delivered,2023-01-27
O000044,U04499,2024-06-24,delivered,2024-06-30
O000045,U00314,2024-06-26,delivered,2024-07-01
O000046,U01149,2025-05-20,delivered,2025-05-24
O000047,U04997,2024-05-08,canceled,2024-05-15
O000048,U03472,2024-10-03,returned,2024-10-08
O000049,U03895,2024-03-15,delivered,2024-03-20
O000050,U00889,2024-05-25,canceled,2024-06-01
O000051,U04886,2023-02-19,delivered,2023-02-23
O000052,U00493,2024-09-20,returned,2024-09-25
O000053,U01508,2025-05-13,delivered,2025-05-18
O000054,U02433,2025-03-17,canceled,2025-03-23
O000055,U03072,2024-01-07,delivered,2024-01-09
O000056,U01221,2023-12-19,delivered,2023-12-26
O000057,U00364,2024-08-14,delivered,2024-08-16
O000058,U01069,2023-12-22,delivered,2023-12-25
O000059,U04813,2025-03-29,delivered,2025-04-01
O000060,U02288,2025-05-14,delivered,2025-05-19
O000061,U02847,2025-01-09,delivered,2025-01-16
O000062,U03011,2024-11-01,delivered,2024-11-05
