order_id,payment_method,payment_amount,payment_status
O000001,Transfer Bank,20280483,success
O000002,Transfer Bank,1119924,success
O000003,Transfer Bank,3276376,success
O000004,Transfer Bank,9274030,success
O000005,COD,14241380,failed
O000006,ShopeePay,1412766,success
O000007,COD,18075686,success
O000008,Kartu Kredit,9612773,failed
O000009,Kartu Kredit,8040264,success
O000010,ShopeePay,1587351,success
O000011,COD,2791827,success
O000012,ShopeePay,14858919,success
O000013,COD,29165840,success
O000014,ShopeePay,17607481,success
O000015,Transfer Bank,15479839,success
O000016,COD,3488613,success
O000017,Kartu Kredit,5877213,success
O000018,COD,18259026,success
O000019,Kartu Kredit,7357076,success
O000020,Transfer Bank,17746528,success
O000021,ShopeePay,2019937,success
O000022,Kartu Kredit,485322,success
O000023,Kartu Kredit,24177351,success
O000024,Kartu Kredit,10276530,failed
O000025,Transfer Bank,13974212,success
O000026,Kartu Kredit,1222208,success
O000027,ShopeePay,2299584,failed
O000028,Kartu Kredit,6157136,success
O000029,COD,18090431,success
O000030,Kartu Kredit,18989323,success
O000031,COD,3064055,failed
O000032,Transfer Bank,32289768,success
O000033,COD,16067098,success
O000034,Transfer Bank,15233200,failed
O000035,COD,2393136,success
O000036,Kartu Kredit,33462605,success
O000037,ShopeePay,12950425,success
O000038,Kartu Kredit,2333921,success
O000039,ShopeePay,182750,failed
O000040,ShopeePay,9803908,success
O000041,Transfer Bank,2784153,success
O000042,Kartu Kredit,3105346,success
O000043,COD,17672680,success
O000044,ShopeePay,8205814,success
O000045,Kartu Kredit,11752778,success
O000046,Kartu Kredit,9120058,success
O000047,ShopeePay,6671666,failed
O000048,Kartu Kredit,13717919,failed
O000049,Kartu Kredit,15662610,success
O000050,COD,781758,failed
O000051,ShopeePay,19257696,success
O000052,Transfer Bank,954942,failed
O000053,Transfer Bank,23515961,success
O000054,Transfer Bank,3518020,failed
O000055,Kartu Kredit,11420679,success
O000056,ShopeePay,9669218,success
O000057,Transfer Bank,3876428,success
O000058,Kartu Kredit,9808960,success
O000059,Kartu Kredit,15290560,success
O000060,Kartu Kredit,7769365,success
O000061,Kartu Kredit,5722879,success
O000062,Kartu Kredit,8903373,success
O000063,ShopeePay,21306132,success
O000064,COD,3157276,success
O000065,Kartu Kredit,982645,success
O000066,COD,18192709,success
O000067,ShopeePay,9182886,failed
O000068,Kartu Kredit,5787309,success
O000069,ShopeePay,2423664,failed
O000070,Transfer Bank,12401651,success
O000071,ShopeePay,1838433,success
O000072,COD,7950797,success
O000073,COD,6484309,success
O000074,ShopeePay,8471092,success
O000075,Transfer Bank,1162871,success
O000076,ShopeePay,8363903,success
O000077,ShopeePay,8647016,success
O000078,COD,35058936,failed
O000079,Transfer Bank,23287591,success
O000080,COD,1645238,success
O000081,Kartu Kredit,2626630,failed
O000082,ShopeePay,20963360,success
O000083,Transfer Bank,7067050,success
O000084,Kartu Kredit,2324474,success
O000085,Transfer Bank,6866485,success
O000086,ShopeePay,2970117,success
O000087,Transfer Bank,8672796,success
O000088,Transfer Bank,23589771,success
O000089,Transfer Bank,7206841,success
O000090,Kartu Kredit,16165002,success
O000091,Kartu Kredit,20982873,success
O000092,Kartu Kredit,8640972,success
O000093,Kartu Kredit,23057231,success
O000094,COD,2093398,success
O000095,COD,22257228,success
O000096,Kartu Kredit,4158290,success
